attribute_concept,masked_display_value,value_hash,global_frequency,rule2_status
address_line2,sui…10,31099a4495284d71feb9705970ac03c011642abb3e969a02a7dd3f1eefda5197,76,worthless
address_line2,sui…00,e3f4f8e24c0118db25b8a807e22d9ff29820f0ecaef563b5b36898ac77c2606e,67,worthless
address_line2,sui…01,85d08e46ad4dd842aff36fe3bece3b8f2fd3303abf2450548a40c0b8d90ed598,82,worthless
address_line2,sui…02,a68a35397133a5948f2d84d00d4d62206246e13827fe24b7cd00d83e8cb2134c,72,worthless
address_line2,sui…03,467e26132705668495562d8d66f8376d09e0736b8b30952915b05e849f2c5cd2,65,worthless
address_line2,sui…04,a24ed79cbf5d4ec1c3e44de912ff79a1499331eff79e4937448563252de995f8,74,worthless
address_line2,sui…05,21c3539c94cf80aadd40b762efd62d7a7111e437fa78b82f34ee22eb04f13beb,90,worthless
address_line2,sui…06,13b9dea63922d5ed6a4b68f26fd0a753e54b4e2503cdcf0e314f9ec9aa38ab68,91,worthless
address_line2,sui…07,48cee0a40997cd194c57aef3dd22aeb689a6848fa5d66b60cde89e5acfa873a8,86,worthless
address_line2,sui…08,cdd7ed3043f894cca2f0e2bfa4bddaafe0bf3f075672eb63f4aa9605a05cff76,71,worthless
address_line2,sui…09,cc2ad30731ec52015587a3c12f5cb97c5a377929ab2a574ea5445d9ea4e3fdca,74,worthless
address_line2,sui…11,5f35006a9207442f65849784acb5620ba67851c6a33c46d71296e498f5002b05,75,worthless
address_line2,sui…10,0dce0e02edcb03b0a265edbd145b40e38a89a10eec412d5a37f077718f916442,72,worthless
address_line2,sui…11,5e43e67d784fbbfd1ca434ba888accd65c883ccd98cbe55e9403e999ceba7a7c,73,worthless
address_line2,sui…12,b0a4649b612e6387fc38377865ee13f7ebf37a2391edc6c460f41e461937ac64,98,worthless
address_line2,sui…13,3e5ac26be6dcd9c3c68295ed80b7b854372856084d1cac727a3d92d1ff5a3e31,98,worthless
address_line2,sui…14,dd2867356a0c2d022ce4f48649dfb1fa340aa1da08e891da9bba25d26fad6c62,78,worthless
address_line2,sui…15,f3b71ad321a98819e78097fbfaebca883326004044071924ddeb977b69aed881,78,worthless
address_line2,sui…16,5f2b9dcf5e5964d13e6a2e8b490649a7c6c830dc46a32a8630a15c8caeae651c,73,worthless
address_line2,sui…17,58094804b8cf863c1520f6235483c127e71e0a7f59fc0b195f0cd50f6e65bcdb,80,worthless
address_line2,sui…18,99e4e52328cd7d43bbc7ebbaddbd825fd7fad9ee56bf22db5b2f5760eadec3d9,82,worthless
address_line2,sui…19,f00e68abda7e0a810d4d46d4534698d61772bf209c8f2d55d45652d65823c196,63,worthless
address_line2,sui…12,53ffdcabe959a35d8555e1350451ec8684d93298df0811aaba90b103e92b538f,91,worthless
address_line2,sui…20,1c571611049796211a8546d379b988ccb7152ec166f30ed5cef73b22196adb0a,80,worthless
address_line2,sui…21,25782c9f6681454651c4de67871f4e52623e7b9ea620af4e231073e9580d09eb,70,worthless
address_line2,sui…22,1673abff364b5ea1b1958d3362a97936d5d93adf70694ba31700440159f6f48c,64,worthless
address_line2,sui…23,8ac4f3709181c6bab6ad62bfbedfbc44e3bd7a4492c62a3fe5ec35faf353f70f,87,worthless
address_line2,sui…24,a350179cd9a197a16c4be727f84cd5bed8b5c9921bdcad2950904ebc2aeeaeb7,75,worthless
address_line2,sui…25,53321ec14e9f1dd5bd4ff60c7091e6524ea38ebf8409366b2ea1869f2c4ce5fa,80,worthless
address_line2,sui…26,d1cee9b66e5501d656a8d02558b3e98e86fdcab2c982946b00a335e87a69039e,74,worthless
address_line2,sui…27,259a59782a7a964e4c9f6bf12868f7ae44264ce58303eaa2cea3b076c897baf5,76,worthless
address_line2,sui…28,63513aac06bb002bd78e8613dc39b721f34b79256edddbaa337ad884a6a4afb2,74,worthless
address_line2,sui…29,97c71df0771ba8db6ca814ca4bad82485675181c3fea137a61ef6e830fc0bd56,67,worthless
address_line2,sui…13,242fdfc7a7990404189e8b0e63a7310e43e8cd9609e55401caaaa3769116e41d,73,worthless
address_line2,sui…30,742cbe65efb13da73985765f8217b995c0d1c35339face2df9fe3e4ffbdf39cd,68,worthless
address_line2,sui…31,288844eca1e792f97958d1fadce817d2a3435e9ba84de37e8bd44cb5bf8fec6f,93,worthless
address_line2,sui…32,b248033bf5df97f2657c1f6c0d25531f64af1c5c80e90a2ddf7f3e0eea442079,55,worthless
address_line2,sui…33,d0deeb6cab4c20580db2f69b3fba8ac1ee631442dbc6848cac54f9e9838ed573,50,worthless
address_line2,sui…34,29c13c50d2300c751a8c473f46f49b07663b35444d0f50da8144403679032725,62,worthless
address_line2,sui…35,44919e84e2635a471dec638fb42de128b5a1d04be7e8e1e34c2334a68f36962d,66,worthless
address_line2,sui…36,030b21667a8b8a557a31e3e2eaa9f01cc8c33815500e90082078e7a1e67cd438,76,worthless
address_line2,sui…37,f82db866616ebe6158b97bd79a0cb3d4b2bcf6d0bde9a64616ce998cde39e1e9,56,worthless
address_line2,sui…38,058b6e56d2bbe149756e7a4e351741c152de63c5d5ca3f5f62a4979627798479,83,worthless
address_line2,sui…39,c9268cf2578ef42769eb59f40deee599c7b0c80516daa6009bb80d2e9bd36e34,81,worthless
address_line2,sui…14,a48de4bb9a82885a2c2aa11065f334cc6243144af8e3ca78228b707e2cb01ded,73,worthless
address_line2,sui…40,176e62bd053dc0d21fe5df1e482e998eb0c409ffc4bd1fb1155c251c08e2fa77,67,worthless
address_line2,sui…41,f813a0cc5bc57903d709c69892c9dfae439aac817477fcce7c260b10ab6dee8c,73,worthless
address_line2,sui…42,f80c7ff7d3d6a5dbb2b521ae37400b003601a1e60d2a7224de919d8578f8bc78,79,worthless
address_line2,sui…43,e713478cfd77f9ebf600d641ea54eba6784cf946634a8409bfa547d14fa3ce40,91,worthless
address_line2,sui…44,2f30c95d0c6b0717e494c8233028a5cfbb3da2b2f3f5b80a92346621328f7695,76,worthless
address_line2,sui…45,41b9bc8edc0410af5f858c57540ef0a9cfc0dc59c98ad4072b831a6de195fe10,82,worthless
address_line2,sui…46,035ec6e5f87799feb60749998c6b38938e2367566f0453f22b6a2246be746fac,86,worthless
address_line2,sui…47,bc179fd1a6d4cb5e772ec06afc1bb5f5fc71f439d885cde844dfecf4c8e953f1,76,worthless
address_line2,sui…48,6b77f0029483bcb5d7a4c76a489d19b27de4dedf79ab9554934ea2c061965b71,61,worthless
address_line2,sui…49,84f0fcac9fb74c5df484ec76894d787e29e2a3fa709bb36fb1c3e605a35bf6f2,85,worthless
address_line2,sui…15,553e1e719a79997fd5004674f9ce9dd73632617964e97c9bbe9d35568eee1a51,99,worthless
address_line2,sui…50,40817473a0acf1f9da0ae0d8de4f8fb86a276cfe27465862dd862959df0a031d,87,worthless
address_line2,sui…51,61467a7f9703e2233f89f0ce5ab2974747b4852d1b50a6114b7c294be192d6f2,100,worthless
address_line2,sui…52,03ad25815d2c483e55491382bd872128da2af7e74597b895563a53b41b16225e,87,worthless
address_line2,sui…53,0ecc88eefadff872262eb3bc8105f40531d95b9df971c6e1407c726ba72b6985,76,worthless
address_line2,sui…54,9cb52827077f366c297845fbbbd5cfbc1a64d574b13a73cd91dcd5d7e958b788,61,worthless
address_line2,sui…55,8a4f55fac0f0ba96bdfa34df8f4d34f7d5f123c667623e4c9ee6ad421f59a3f5,77,worthless
address_line2,sui…56,322df80d468323953edf28e9381422996d08def0f9e4a58113f6d4f3b5137a6b,87,worthless
address_line2,sui…57,0fee83e90de7586adee9fb4f97c14afc7e389f76d84982246903a24239a4913c,76,worthless
address_line2,sui…58,3f43de5b4276dcc958664e0af0316e20d28f916b11cc63e76485148f586b12ad,87,worthless
address_line2,sui…59,8439ed2fcab8a086950f9fc94a1570315bdefe01b738a5dd018d50cc1964aa81,82,worthless
address_line2,sui…16,09aa311fb5e81e79e346dafccd27d6d5c256c7b27c25332f34008a3a9472001d,88,worthless
address_line2,sui…60,a0850a92b389e114b9005920cbbd62ef39948797ad605a7df70fbeae549a69ec,70,worthless
address_line2,sui…61,fb3bec9df6bd980787187fa730864a78bfd62c2cb417ed4e1454b9d80f10d36a,81,worthless
address_line2,sui…62,83aafd1431aa3d472e64d684ae98cc134d71aa4ad6f883e13feb724d7863e9c5,90,worthless
address_line2,sui…63,c574b1ee082e92715fde848bde62f124a4527dbb02029a6b60016939f877ba66,75,worthless
address_line2,sui…64,b67458585528ea470ce490d33ef31a23828a44177d20d5da6d406a895553c259,77,worthless
address_line2,sui…65,d5b99ca2fc7436825d3c4af6b841bc8f20bd8e84d24da9ad3f4fb70d6cde9ed6,60,worthless
address_line2,sui…66,3dd5c664bb967cd86a039fc2ecc179790d507783169d601060db93ec939f36d9,75,worthless
address_line2,sui…67,a4066f888c4453e859c0438990564943b38a9e1c0f18acf82b1af14fe838317d,75,worthless
address_line2,sui…68,0c2bfb5d76ca992a0dafcb92ce88afd0f29d8ea091ce4ac023d1e74576e80ed4,85,worthless
address_line2,sui…69,5800a78294e6bb552de4ecbd64095714fc6f58b23be176cad7a13dbd246b3b20,85,worthless
address_line2,sui…17,9b9aaea417c1569a4a1e72b57c09f3500f8761c3ff9a29b9fa5b92d933314d07,78,worthless
address_line2,sui…70,c934673fcb64e257850a6b779872c4d3e5ca0948479ae39c642b751e23f64190,74,worthless
address_line2,sui…71,b8c09860dc636fb7eff6c5f275668be26af1e291efcb77c2d1be1e4199e7f328,79,worthless
address_line2,sui…72,5f3319a4307d61f5203e3eb6cfe6868133ae497d0b34704292b1db2dba58565a,75,worthless
address_line2,sui…73,a8bbef4e4b03f2b39b9f7e46e9708596ae194c7c7e274c634bbfbffe47bdb35c,69,worthless
address_line2,sui…74,fc9e2d882922e507173f3217196f04da20c17740581ee6aee1e234a2acfda4f6,88,worthless
address_line2,sui…75,73e91843c80cc9f9606bc446f4d5fb038d72d6843b39c914a41ea82dd523a4cc,66,worthless
address_line2,sui…76,cabc910135d58f5fb3b94489ff36cc52cac756280b014be10d7966d40c0df663,80,worthless
address_line2,sui…77,043c54cae419785b616ecdbc07d1e230796be13fe70736772bfdbb1f01fe3343,81,worthless
address_line2,sui…78,256295e129f451603780318ba56e35976b7e8e8bb8539e72312ddadc7a1b986b,69,worthless
address_line2,sui…79,60d9efb62427a0684fdf0c5b6da9bb2d57e1b044907e77afa502c3a76e82038a,63,worthless
address_line2,sui…18,ec92e0a54698ce175d5e3e4d2a46213344e860db71c3782d3725a02f33a9b602,94,worthless
address_line2,sui…80,29097795bc497a389c7e3fa95438372aa95315bed2bf49f12929d112e36333f1,76,worthless
address_line2,sui…81,8feb12c0c36c1ecd8b4f1e8c47ecdfa61d7646095f3d57fdc18f1b8f63979ec3,77,worthless
address_line2,sui…82,14a11ea407b0b3170b459cf7e635eaa0160d85950cebec37861115153cc93668,87,worthless
address_line2,sui…83,c8139ac9174adb6c33142ad33d406d661473023ec98949d7330174d2e10eb74b,76,worthless
address_line2,sui…84,5bd23eb6f2d3f0cf4ffb5524393410d9548cca6f84264f35957b674954355134,82,worthless
address_line2,sui…85,20cbde7777a8e5e379339e69162198d1771803ded3de306c9c3cf32722a722a2,73,worthless
address_line2,sui…86,e23464a757ab4eaefada1ffd182d89e02dd06739931b4c3ce3e6a6b273f8db13,77,worthless
address_line2,sui…87,5c27b7673d526e2d1c0cc3186cf7196e16aacc2c8093ec740e8040a2ffd014a7,76,worthless
address_line2,sui…88,0990401f00281d20f6f60ba8015bc201db17fd3a294961f87e3c0c0fdfbb5abd,76,worthless
address_line2,sui…89,50afbd7a27a93edcfaa24f38157fae696846ce17346a70df1531655f9e0b1251,76,worthless
address_line2,sui…19,68d24688f0f1810ee07a0be61d5c33947f52d0995838e20e6142fba4dd933163,80,worthless
address_line2,sui…90,32d7d3f87541e5d089025f87ee6e6aedd484cf7fcb5385d2d5a8ba76a84d2a71,52,worthless
address_line2,sui…91,98f4803752b9357c807e0649de5a410e14a2aebaf907236da0de291f0dbad4b1,72,worthless
address_line2,sui…92,2b9a575abd84c462979e3c5776c3c80aaae666b678ad9dab28c4aae62b0ebcd3,59,worthless
address_line2,sui…93,24a7a2639bc753961ad83e5a1e0311657353553738dae43566a7b5731489b9f5,75,worthless
address_line2,sui…94,fe399ad4b26c017d448107d6a7414917b8b36965f21ad3083788841183938b01,95,worthless
address_line2,sui…95,a9c195d6e0d5adfa5e5ed052ea1974f2cf9e96aeda2d998be67390d9ea19ac32,91,worthless
address_line2,sui…96,fb3de20e70d1118bf901e666004e6488966f4865efef49c76de49ed7b86364d7,82,worthless
address_line2,sui…97,93fac0034a3bbfbb5455f42635db5d2410ada43d4626e69bc8ac78c6cf9d6f25,64,worthless
address_line2,sui…98,745df5403cb8abcee0d165216d8c311a248823e512de8ad6339da79d1a3a0a65,78,worthless
address_line2,sui…99,05869e14ebc4e64e232f2a27bb69c42daddd452d705241a85f4b717ee1cba1e5,66,worthless
address_line2,sui… 2,450947526075e19bdf873476dd6f314303920d2d83ed795808484290dbc7e277,74,worthless
address_line2,sui…20,fc12528edd4caf91044b7bbe71f6bb0fd64930c44363d7d058a777d397cbf1dc,83,worthless
address_line2,sui…00,8d4a35abc4eab27e6e7d0cb030c7e5526c285d303f5a61885a1f1421fecae136,64,worthless
address_line2,sui…21,7700deed43bf17a9585122db6b1456ec1fe8a028bc769ac256087f59658e64b1,68,worthless
address_line2,sui…22,4a66ad347f648a406601a35c3aadb5cca5ea4cffa82aac845b07292e265c59f8,79,worthless
address_line2,sui…23,517ea5a096283000a0d4158dbb282bcedb78270ab2114e3ae3c1d6059ee8e5e7,75,worthless
address_line2,sui…24,6beb35f549e872631e0726e825097cc5f455c800039071d476a6c5fa243e61a1,68,worthless
address_line2,sui…25,f7b0e7e50e1cc63d065dba7b5366a0bb0c41b380304eb78a6b3a38748b386704,83,worthless
address_line2,sui…26,a8fd7e5d569643c425caf509aa1a5f72b1de5aeaba5c552c33158b651ef16f41,87,worthless
address_line2,sui…27,559bb7d541a11dfa43eb695287439c96fac65cd569befe1e4cd7b41d0475a356,97,worthless
address_line2,sui…28,da6c57a9811a640428e9c4751309c7f55df6950ccce9436e91728e2a3c84f3b6,77,worthless
address_line2,sui…29,1db7edc8b92fcc3da4548db21941703590806049663a5226a734a66bc9a2b549,62,worthless
address_line2,sui… 3,5ab8ffb1469ee61a77c9591f3c9c7fcd59055c67be240e95a88d0e15308a412f,68,worthless
address_line2,sui…30,c88091bd9929921264066f803a3fedbf3a3d14f45937ea1e7899479d8bced981,73,worthless
address_line2,sui…31,2bf1b48b0f97bca4702d6b0df85fc6a2a416207f20b8e3f13682075cddad7fad,73,worthless
address_line2,sui…32,d584483846b7af98e2a47c3c11e7f1fc5a6f86f906932a935d5ad0b9f7076787,71,worthless
address_line2,sui…33,e53906c2be1147afe89a7603e6fc0160114c2d703e43e860196bba7d4f05a5d6,85,worthless
address_line2,sui…34,a998def7fd73819cbf3ff05aabba57f831ee2401a71f92bcf4eabc00f9061ec3,84,worthless
address_line2,sui…35,d5d5c0469ea420caf85aed7575432de343efb03b7a9df8fb0a0cd11f9a92b0c9,71,worthless
address_line2,sui…36,eccd8c4396f6de68c796052bf0ac12b67e7e690eac518675fa1c0268dc751aa1,65,worthless
address_line2,sui…37,7c123243a940f3c4b7c0bb328b03140a21d7dc6129bd08ace475807bc917a350,81,worthless
address_line2,sui…38,dedd111d6cbdcd88557301d91f4f0cc5cee6b9bcc5d81d6b186a941f2569e942,78,worthless
address_line2,sui…39,441394686886facfa79345bc3094778287848d501ca4fa050b5e962faae28b6f,76,worthless
address_line2,sui… 4,0b26b16646e3929b242cfeaa523326cb837954c07262ed0592615d967c20c557,74,worthless
address_line2,sui…40,1ce5e31205f820c27c5448b7833ca0664c9c3798db600e64676e15e097140350,83,worthless
address_line2,sui…41,a9abcd206852e47625aa57ba79018dfe19a058648871e7aa300ce2d9f616279f,93,worthless
address_line2,sui…42,83550b8dd4836b3d8248fcf3efc7c1aa5650db81b57db9e022aeb698378a55bc,62,worthless
address_line2,sui…43,22a661bb1aff42261eeedd8d6e0899e500cbabad59ad42727b877a4dad757fd6,79,worthless
address_line2,sui…44,ff2deb246b25991a5a625f7f2f3e9d5bf32d2fb3ed7d7c521adb61fab07230c4,70,worthless
address_line2,sui…45,f82c033bb26bdd9d78f0af23b09db23116a3d59fe38aeccbc47f6b50cf0e9384,73,worthless
address_line2,sui…46,6f74de308d6bc76967dc1d40fe612594197e401f8cffc7666c9ab6fbcaaa4719,74,worthless
address_line2,sui…47,1a049cbc574aed20276d6d7a3d072d197f8c6cd28f7e7603b2fb949a7d040a75,82,worthless
address_line2,sui…48,fdf34858e3baa50cc35387d6ff6dfce1113e7843beaf80f19ba511aa160fdf04,85,worthless
address_line2,sui…49,ef80856c72a7324371797936d40edd33759f73c73753082c72af3be6d4bf5bd7,86,worthless
address_line2,sui… 5,71dcc46b2b0ef7f2480ae192c0a8e6fe56d05d6c0d85bd8e43e5c68bb09c335d,71,worthless
address_line2,sui…50,db6f6d2e82eee95b36ed6fddd38c0ca4ce16a55368635dcaf778b70b5f4a4a32,68,worthless
address_line2,sui…51,7bd1faedda6f6b5fc0647fe3d545ce4aed15bcf49073d24349748a4d22d5e261,70,worthless
address_line2,sui…52,cc0b86ce9d8c202216f3fbabf45fd1b9306d59315dc991b5d272f2f70d59d7ad,105,worthless
address_line2,sui…53,0d539df77997aec2e32ccd2adfcd50928433d77162c0557fac941e2eee5613fa,84,worthless
address_line2,sui…54,aa85114a5fa533a36d1d0f6b8f8a86a816ccc03411ab1b8173099e6bd3ea2028,79,worthless
address_line2,sui…55,ef81b9de74238595b7d763f46928b1e64de84605627b99c88cadc620282d38ce,86,worthless
address_line2,sui…56,a20ef8489affe09815838d0664582b06592efc90f859c9a7db84523eed2e3efb,65,worthless
address_line2,sui…57,976da1eb4cd7c344b56bd4f5ef1dce7e9fcc3cccf2aefdafb869d33b1b625dd9,80,worthless
address_line2,sui…58,e60038928adb3d73813f989b8463d56b43e178fcc54c6578d8319f901f6e5e0f,74,worthless
address_line2,sui…59,aa72f56af14daa2886c65958df8d97664ca2d7d6420389828b096989618e2ce7,83,worthless
address_line2,sui… 6,4ba27f94119dac6964559e1305952e0af43ac40718ae4cd33c6958ac91791494,75,worthless
address_line2,sui…60,554c78f54d35a718f8f2f475a2eaa10002708d4d410420171d0c59190dbd4118,77,worthless
address_line2,sui…61,c1e8b7512578ff3e4a3381a6cfd504c6ec7320c53a3686844db0ffa969168203,90,worthless
address_line2,sui…62,bc49f68e33fc377d584e1081566658559f1caf858c1386424c370fb4f1d16e22,68,worthless
address_line2,sui…63,13d6e8a2e9b640241ae5fb72ad05c75595f301053dbb2c24c1afc5a2adf9130e,99,worthless
address_line2,sui…64,d4303b30767177b4022da69f060b4fabb147c8ab380cf565d30b70d7d8a0bccf,74,worthless
address_line2,sui…65,bd007d26d1ae98362102d02f3ca04470876224f20d7b731cc574ca4ff9659920,65,worthless
address_line2,sui…66,343c9b641ab3b9f34635cbd1d8356bee033f94f5cd512903ca2829eab9c7269f,71,worthless
address_line2,sui…67,d4047b3c1c5dc7ad7adef0c070fc90dea0f40e17eda750ebe302ad7e6fc6bf7c,86,worthless
address_line2,sui…68,85548cd9c5bfcc1f0ebea023cf8132cafef0363c77199514f1335c7a4ce6a443,72,worthless
address_line2,sui…69,8af4b1408965360af0c47be65869aa05568290dc27f4a2fec9f1024fc341f80d,65,worthless
address_line2,sui… 7,7f481791c16b2d27249abe763fb2541c5767bcfef3015008418585f94408a69a,73,worthless
address_line2,sui…70,e15cc6c334248677ab00889508aa580d7559d4599e79544a7839af91c5e65e5d,86,worthless
address_line2,sui…71,2ad0d996af277946dd7e07152c5d772221fbe78db462a6782a5829f4604441ad,79,worthless
address_line2,sui…72,54ddaa453ff416054d14691206f576a399de16e5047c319387d00b82fee125b5,87,worthless
address_line2,sui…73,64923f5a6750272f9ad78f44a0a1ff6c02aa9f05dfdd018caf9ca3c6ffc0026d,70,worthless
address_line2,sui…74,c085b1881d6df3160b9f0a2c6e7bc406c226b674f96de9642565af0779e5c92b,82,worthless
address_line2,sui…75,3c00e05b2c609e96a05585ac6209ec45ade3059db8e5fb34291ca90b88d3568a,65,worthless
address_line2,sui…76,576ff1ba8a76863a1e471fafa86a29a564d3b90d1678dc3b67005cc0bcfa61c2,82,worthless
address_line2,sui…77,3b5bc601f7d61fd1633c8e296019271d492dba30205ecb904c3640121ab0083e,65,worthless
address_line2,sui…78,7c16df3e8ca440ca56616b0bb2c833d8cee5e38ba849b745f14d668d98162c4b,96,worthless
address_line2,sui…79,d7fdd87b423e7f2e9b27d29bcad7fc4eccf8020bb5b95b2296f959b7c82600c4,78,worthless
address_line2,sui… 8,e4a4a7ed68484d80796a741ca34b703e143f7ea9d20224784baedd40e19480f4,83,worthless
address_line2,sui…80,93fc5c532019ec9b3732da3bfdcc288d902d5785d1440e9b546a63141fddf402,74,worthless
address_line2,sui…81,f06bae954ced89a41eca8ad45767375d9437caf7830e6fcdacf2d933ef16a0f1,87,worthless
address_line2,sui…82,7016181493519677500e3aca0cd9a2a1182bf50c8601b449e7b13e0362a234d1,81,worthless
address_line2,sui…83,99497b4e4b4b80e4c5ac72804e86c2ac69e3044bb626668dcee2dff2da05e311,83,worthless
address_line2,sui…84,ed5d39f8bd2b63d7647bb2e1799c0a10b40518e6cce602c8df200c151abde7c0,72,worthless
address_line2,sui…85,6327c202502b5c9d9d57ed1909f679c20b5b7e346948f8e937222f0c37978edc,63,worthless
address_line2,sui…86,9165493fba7a9b614cb3e3c8f009364e2d8ed801d0cae74a0e1c3b14942366c4,68,worthless
address_line2,sui…87,fbf922ad40390e588ca85bbbd9ad35efb6b331a00a49097240cc632947ee0e8e,84,worthless
address_line2,sui…88,cc3ab920e91000c24be6467df350060b31f3058e50e99453d8dc84528bf74363,83,worthless
address_line2,sui…89,9c0ef729f80d6a43a4ba2ba3a0aaa097956855b4ee4cc07f43b6441400473eb9,82,worthless
address_line2,sui… 9,9588c64f79b87f1b1897434c9591c4fc238bebd0956a5012021e53ee9b4bd335,67,worthless
address_line2,sui…90,7b0e4ec03e211835f3c8f293ffec34327930b2ada008ce3d394aca43a04a4c4e,75,worthless
address_line2,sui…91,ca52fbe9bcd8bbee1e66a4245f567003a1213e5cf094dfc5fe5d7a7f9a327159,91,worthless
address_line2,sui…92,2926cedc4bb492ab4f0a682f8829004adb7b80c31a3b023eb83b371110257979,72,worthless
address_line2,sui…93,b111cb5d42abc76a879a62e5784c05cef420d83335e111696292c317348b69fb,59,worthless
address_line2,sui…94,1939648ed511435df099fc2c5b78347341c3dcbd68b2644767e9e40ad10420a9,77,worthless
address_line2,sui…95,ba8256e5cc4845e7b039888cf4f65950ad97edf4e5795038d1dcc12aac3d955f,78,worthless
address_line2,sui…96,94d1b4daec2233e7e3e14dce4d944cf1cdf37ac86c4b41b6d6b10bf18ac4cf92,70,worthless
address_line2,sui…97,3c19a42f7567beec0b3b7a9b601050caa67b84c6e72edcff7c61ef161170169c,76,worthless
address_line2,sui…98,7b6dade2ca63931eee25e9e93c08016082432aaff91165a5dbc54c74c0c5da8e,67,worthless
address_line2,sui…99,0918925259e4974725b2f500497fb1c29ec64722088db9aff2e472449dbf0283,80,worthless
city,gre…ld,e413fbf3f51535bdd9600434cb682a4865522386c3dbf710bf5fd18e817b46ae,22412,worthless
city,gre…ld,c5456cf6be74be4189d750700bf97993e5207026231dd39ae36049081b1cb92e,33706,worthless
city,hil…ew,d1a156990a7fe6dfbdfe01529a35bc6e567fc91ba03c44ea41b09c256e39c4ec,33814,worthless
city,hil…ew,0f9c6884043980d6dd4ff2cb130b609e9896e70d1bade05e1bef9e39c0ef84a9,22317,worthless
city,lak…wn,779407dd265e11daa4e43ada89fc855de8dc6c12211fa90402bdda3bc767946b,22466,worthless
city,lak…wn,0d2ae4a2f01394c77e39d8253a830ca00ec661b06b74041cb92fc7ca9ce00168,33417,worthless
city,met…ty,f7a7a8b9d98766deafb8903bbe7df1aaa935f05156c46d0a33451b7800c47e31,22592,worthless
city,met…ty,4890d91c2c29d482821c2e41c68483a7556f3479d74a1c4de1781dff730fd3b9,33855,worthless
city,new…wn,c55850dd14892679a4ebef0e521a282e291535d9d246e9462235ee39526f64aa,22623,worthless
city,new…wn,04c749057452d3448d093cdafdf5fc1e82120e399aaa63dde8687507e5b73e5a,33539,worthless
city,r***,0f0a355b1c68b7f3d8ba064b7b743bfc48f1bca018d0f2f32f50bcd8c9283856,22259,worthless
country,A**,6f24b70609a682c1833552c293d440d94858a266785224be20385bddfe8eb2b2,62336,worthless
country,G**,a0e25654456095d9b99bf8d23c29ee42db431ce6d6b661a7ffd7303896d85b7c,62292,worthless
country,I**,54c3f4a303809fc998fae7b72d27c52f3fa1de068b27eb9e8ae1c0a8cf9bf6f7,62722,worthless
country,U**,21faec49de8a12f1cde78ad333933c119e03cdf2f02040eecd2408eb3c69eb78,62650,worthless
date_of_birth,1900-**-**,a3a2e452db89e3c743a2b58d45722975cc347acf727bbbd845fd610ac1101c22,252,worthless
date_of_birth,1970-**-**,ab8aeecf04882452cda147972778df18975711838c40fdff675eb0fd05b9cd08,4191,worthless
date_of_birth,2002-**-**,ab1f556ca9e58f3837c362af698730a96212f34e34d998b0d629be12807613fe,358,worthless
date_of_birth,2002-**-**,51eaa3e652c852f7fafadf8755ed5baf0e2ef181beefb1d096a22f06ccda101a,353,worthless
date_of_birth,2002-**-**,40963c51ee7f5264d0a78d37608b5783102554b809c08369f33b5fa70d4db8e0,343,worthless
date_of_birth,2002-**-**,a46f854f16a534e0aa4741d0a0e0bc9805481042cab05ef3def538b9397e30e3,344,worthless
date_of_birth,2002-**-**,5e1eac43e6dad749d3d9b8d75333db1991298634374c8ea9fbf6079ccfb9107d,337,worthless
