attribute_concept,masked_display_value,value_hash,global_frequency,frequency_by_source,source_count,rule2_status,reason,profiling_transformation,affected_records,potential_pair_incidences
country,I***,d04fd0f5bb9ae5ba2ffd258b2c272714acb4fdac163c7b8d8a49df18806fbad4,12502,"{""app_users"": 6060, ""store_customers"": 3988, ""subscriptions"": 2454}",3,worthless,"Observed on 12,502 physical records; strict Rule 2 threshold is greater than 40.",trim only,12502,78143751
country,U**,812ce1f7aa394259a3691a091d4203998c41b7edc3bc9a046ad4711371bc68e7,12486,"{""app_users"": 6031, ""store_customers"": 3934, ""subscriptions"": 2521}",3,worthless,"Observed on 12,486 physical records; strict Rule 2 threshold is greater than 40.",trim only,12486,77943855
country,I**,e5154e433f451354ee57e063963e492e2e295a691f32898e273a70640a9f37b2,12473,"{""app_users"": 5916, ""store_customers"": 4084, ""subscriptions"": 2473}",3,worthless,"Observed on 12,473 physical records; strict Rule 2 threshold is greater than 40.",trim only,12473,77781628
country,G**,6e0dda436f4cd58db2465c0f3493cef7774ffe7e822ff44d9b06fdfb9f15da81,12454,"{""app_users"": 5997, ""store_customers"": 3989, ""subscriptions"": 2468}",3,worthless,"Observed on 12,454 physical records; strict Rule 2 threshold is greater than 40.",trim only,12454,77544831
country,AUS…IA,218509bcbc5e1a1b0c2e8f0182c55e8d233f34495810d883c9c1ab7c2035a625,12446,"{""app_users"": 5921, ""store_customers"": 3981, ""subscriptions"": 2544}",3,worthless,"Observed on 12,446 physical records; strict Rule 2 threshold is greater than 40.",trim only,12446,77445235
country,aus…ia,ed8a5d8ce5f8e37e311b2d7634d3afe2d9a5272d036b865624deaa7fbeb29697,12444,"{""app_users"": 5985, ""store_customers"": 3964, ""subscriptions"": 2495}",3,worthless,"Observed on 12,444 physical records; strict Rule 2 threshold is greater than 40.",trim only,12444,77420346
country,U**,21faec49de8a12f1cde78ad333933c119e03cdf2f02040eecd2408eb3c69eb78,12438,"{""app_users"": 5946, ""store_customers"": 3988, ""subscriptions"": 2504}",3,worthless,"Observed on 12,438 physical records; strict Rule 2 threshold is greater than 40.",trim only,12438,77345703
country,uni…es,26a9aaf6ea06fbcbcb8dc668bc1428af53773fbfada31c1dee1f66ce069be338,12423,"{""app_users"": 5890, ""store_customers"": 3957, ""subscriptions"": 2576}",3,worthless,"Observed on 12,423 physical records; strict Rule 2 threshold is greater than 40.",trim only,12423,77159253
country,i***,dcc349c9fa1e4ef9a0a78fa3296932cf1501045f40740d403a80c72c7e7c99e6,12423,"{""app_users"": 6014, ""store_customers"": 3968, ""subscriptions"": 2441}",3,worthless,"Observed on 12,423 physical records; strict Rule 2 threshold is greater than 40.",trim only,12423,77159253
country,Aus…ia,3be056d8c8cf9f8d5de5d5d41fb5a9c59b6c7ab99ac5da4541e1c2f0756a0df9,12402,"{""app_users"": 5927, ""store_customers"": 3987, ""subscriptions"": 2488}",3,worthless,"Observed on 12,402 physical records; strict Rule 2 threshold is greater than 40.",trim only,12402,76898601
country,U**,94a5947f26eb02077e78c61dcee8dea5d4a8c5e077878ce48ceda24bbc4940a2,12402,"{""app_users"": 5940, ""store_customers"": 3981, ""subscriptions"": 2481}",3,worthless,"Observed on 12,402 physical records; strict Rule 2 threshold is greater than 40.",trim only,12402,76898601
country,uni…om,bfdb5e20ec6426ff1f21c01bb7e1e63bd51f60649de2be310cf1fab210913e33,12267,"{""app_users"": 5879, ""store_customers"": 3849, ""subscriptions"": 2539}",3,worthless,"Observed on 12,267 physical records; strict Rule 2 threshold is greater than 40.",trim only,12267,75233511
city,NEW…WN,fe523236afba566a22070434467005044ad80f1819469b1354c2008159887d5c,10464,"{""app_users"": 4858, ""store_customers"": 3313, ""ticketing"": 2293}",3,worthless,"Observed on 10,464 physical records; strict Rule 2 threshold is greater than 40.",trim only,10464,54742416
city,Lak…wn,8e7a588befa35dfe3bbbf8166a2c20bc207468ab280edab900b810ee8921fc8d,10414,"{""app_users"": 4861, ""store_customers"": 3284, ""ticketing"": 2269}",3,worthless,"Observed on 10,414 physical records; strict Rule 2 threshold is greater than 40.",trim only,10414,54220491
city,met…ty,66e54e165b9d638be4659f3bbcd4722ffeb12ee52242e628246b0db8dacd3e9d,10406,"{""app_users"": 4857, ""store_customers"": 3273, ""ticketing"": 2276}",3,worthless,"Observed on 10,406 physical records; strict Rule 2 threshold is greater than 40.",trim only,10406,54137215
city,MET…TY,7945294dbcebc6f24cb4c42b66d6fd8b98e72765504db49fb3f276c226760d93,10400,"{""app_users"": 4881, ""store_customers"": 3143, ""ticketing"": 2376}",3,worthless,"Observed on 10,400 physical records; strict Rule 2 threshold is greater than 40.",trim only,10400,54074800
city,hil…ew,d1a156990a7fe6dfbdfe01529a35bc6e567fc91ba03c44ea41b09c256e39c4ec,10391,"{""app_users"": 4811, ""store_customers"": 3196, ""ticketing"": 2384}",3,worthless,"Observed on 10,391 physical records; strict Rule 2 threshold is greater than 40.",trim only,10391,53981245
city,GRE…LD,15e2051f10cf087a514c9dbbd0896f5f5cfa3fbe925731cda6326e5df2958386,10370,"{""app_users"": 4835, ""store_customers"": 3236, ""ticketing"": 2299}",3,worthless,"Observed on 10,370 physical records; strict Rule 2 threshold is greater than 40.",trim only,10370,53763265
city,Hil…ew,5dedb06ea24524cc7cf7757c22645800c6c5e81c117e6ce6db5b8ae0cdc3f240,10368,"{""app_users"": 4829, ""store_customers"": 3232, ""ticketing"": 2307}",3,worthless,"Observed on 10,368 physical records; strict Rule 2 threshold is greater than 40.",trim only,10368,53742528
city,New…wn,dd065a563d7107763df27d709710e7b67acdbaab1b053aee2490b7783f97a4e0,10368,"{""app_users"": 4775, ""store_customers"": 3264, ""ticketing"": 2329}",3,worthless,"Observed on 10,368 physical records; strict Rule 2 threshold is greater than 40.",trim only,10368,53742528
city,Gre…ld,e8ab97fdb215731b38e8a06bf11aeb8c7594d507bbf5d8abd3bd536928d70c24,10362,"{""app_users"": 4837, ""store_customers"": 3204, ""ticketing"": 2321}",3,worthless,"Observed on 10,362 physical records; strict Rule 2 threshold is greater than 40.",trim only,10362,53680341
city,new…wn,c55850dd14892679a4ebef0e521a282e291535d9d246e9462235ee39526f64aa,10350,"{""app_users"": 4797, ""store_customers"": 3183, ""ticketing"": 2370}",3,worthless,"Observed on 10,350 physical records; strict Rule 2 threshold is greater than 40.",trim only,10350,53556075
city,Met…ty,a821159629cf795318cf2d75e80f0f9507d873b610297550bd9b8c71e190a057,10349,"{""app_users"": 4812, ""store_customers"": 3166, ""ticketing"": 2371}",3,worthless,"Observed on 10,349 physical records; strict Rule 2 threshold is greater than 40.",trim only,10349,53545726
city,Met…ty,2ffe7c5930c7bbc2eded811631b588fc719dd019be4867db08d3888e8c0bc709,10346,"{""app_users"": 4806, ""store_customers"": 3183, ""ticketing"": 2357}",3,worthless,"Observed on 10,346 physical records; strict Rule 2 threshold is greater than 40.",trim only,10346,53514685
city,Gre…ld,7d335aacfc56f4d1ee00ba5a3866e4b9e1d6c0f3f4815e3cbc9f446ce7b6031d,10340,"{""app_users"": 4814, ""store_customers"": 3209, ""ticketing"": 2317}",3,worthless,"Observed on 10,340 physical records; strict Rule 2 threshold is greater than 40.",trim only,10340,53452630
city,met…ty,4890d91c2c29d482821c2e41c68483a7556f3479d74a1c4de1781dff730fd3b9,10338,"{""app_users"": 4762, ""store_customers"": 3262, ""ticketing"": 2314}",3,worthless,"Observed on 10,338 physical records; strict Rule 2 threshold is greater than 40.",trim only,10338,53431953
city,LAK…WN,34e367d4cff70aa438ebbb633954881d51e7ad7d4482b815d4db221d68351d94,10334,"{""app_users"": 4823, ""store_customers"": 3151, ""ticketing"": 2360}",3,worthless,"Observed on 10,334 physical records; strict Rule 2 threshold is greater than 40.",trim only,10334,53390611
city,Gre…ld,591d2052ea59f6b635a8665555adec8dcfde6c28dbb3811b1af51f78abe0904b,10281,"{""app_users"": 4752, ""store_customers"": 3262, ""ticketing"": 2267}",3,worthless,"Observed on 10,281 physical records; strict Rule 2 threshold is greater than 40.",trim only,10281,52844340
city,HIL…EW,9e2af982cea8baf004c113e27745f1fde73a55fa6ccf48c8566b8b783f286c20,10278,"{""app_users"": 4826, ""store_customers"": 3144, ""ticketing"": 2308}",3,worthless,"Observed on 10,278 physical records; strict Rule 2 threshold is greater than 40.",trim only,10278,52813503
city,Hil…ew,4afaaeb9ba6dc835ced582773caa3d5b6ede0506d499afb4b2bfc197172c40c1,10252,"{""app_users"": 4775, ""store_customers"": 3165, ""ticketing"": 2312}",3,worthless,"Observed on 10,252 physical records; strict Rule 2 threshold is greater than 40.",trim only,10252,52546626
city,Lak…wn,378ca08bb92691a630c77827a32eb69d6fb32598b066413ef955dfacc04947af,10238,"{""app_users"": 4781, ""store_customers"": 3219, ""ticketing"": 2238}",3,worthless,"Observed on 10,238 physical records; strict Rule 2 threshold is greater than 40.",trim only,10238,52403203
city,Hil…ew,2a3c4896169a2a74e894ccb237f9ef66d279420bf7a75f22dea389f142116fc2,10233,"{""app_users"": 4838, ""store_customers"": 3101, ""ticketing"": 2294}",3,worthless,"Observed on 10,233 physical records; strict Rule 2 threshold is greater than 40.",trim only,10233,52352028
city,gre…ld,c5456cf6be74be4189d750700bf97993e5207026231dd39ae36049081b1cb92e,10214,"{""app_users"": 4726, ""store_customers"": 3216, ""ticketing"": 2272}",3,worthless,"Observed on 10,214 physical records; strict Rule 2 threshold is greater than 40.",trim only,10214,52157791
city,New…wn,2b26fe6e9a43e70c46b9580abc014cfbda4d2e2ef559fcac88b1435a4e30e7ab,10212,"{""app_users"": 4757, ""store_customers"": 3143, ""ticketing"": 2312}",3,worthless,"Observed on 10,212 physical records; strict Rule 2 threshold is greater than 40.",trim only,10212,52137366
city,lak…wn,779407dd265e11daa4e43ada89fc855de8dc6c12211fa90402bdda3bc767946b,10204,"{""app_users"": 4771, ""store_customers"": 3206, ""ticketing"": 2227}",3,worthless,"Observed on 10,204 physical records; strict Rule 2 threshold is greater than 40.",trim only,10204,52055706
city,Lak…wn,23b4e1b858e6e1f258ced21458e129309fe5768ab42e3db304217cd206002e0b,10115,"{""app_users"": 4718, ""store_customers"": 3149, ""ticketing"": 2248}",3,worthless,"Observed on 10,115 physical records; strict Rule 2 threshold is greater than 40.",trim only,10115,51151555
city,New…wn,aa8e107d1edc6ad6f7c6e9760ee1083f7cf1b35882033e60ec1c0bb4d5bc4a0e,10114,"{""app_users"": 4698, ""store_customers"": 3096, ""ticketing"": 2320}",3,worthless,"Observed on 10,114 physical records; strict Rule 2 threshold is greater than 40.",trim only,10114,51141441
date_of_birth,1970-**-**,ab8aeecf04882452cda147972778df18975711838c40fdff675eb0fd05b9cd08,4191,"{""app_users"": 1517, ""store_customers"": 2674}",2,worthless,"Observed on 4,191 physical records; strict Rule 2 threshold is greater than 40.",trim only,4191,8780145
phone,********00,6b040bddb8fe0f58f2ccd541790996515ac8f141aa5df74637589bf16d33c30f,3000,"{""app_users"": 1072, ""store_customers"": 1928}",2,worthless,"Observed on 3,000 physical records; strict Rule 2 threshold is greater than 40.",trim + safe punctuation removal,3000,4498500
email,q***@s***.test,70440e8309e62157bca3bfdcc6f143dc406d0ff0565060fbb3efd42607b51c8d,1500,"{""app_users"": 533, ""store_customers"": 967}",2,worthless,"Observed on 1,500 physical records; strict Rule 2 threshold is greater than 40.",trim + case-fold,1500,1124250
address_line2,Flo… 7,8a23b6af075947e3c40a3db4a4ec7bfe1baad59eb282e3c9d8e1998c487e842e,1231,"{""store_customers"": 1231}",1,worthless,"Observed on 1,231 physical records; strict Rule 2 threshold is greater than 40.",trim only,1231,757065
address_line2,Flo…10,054352ad94e326c878fc663b6b8208064e6412193f69b04685486ee1f571d7fe,1218,"{""store_customers"": 1218}",1,worthless,"Observed on 1,218 physical records; strict Rule 2 threshold is greater than 40.",trim only,1218,741153
address_line2,Flo…11,5b2b012368c371957c880dd02f6ea4c44d9f71bae11e00f516d653c9b0f09a2e,1210,"{""store_customers"": 1210}",1,worthless,"Observed on 1,210 physical records; strict Rule 2 threshold is greater than 40.",trim only,1210,731445
address_line2,Flo… 2,1988d2809cfbeb8e4307da1e4b5027d642ce53788b05ffcb3455c4c6c34bfc9b,1182,"{""store_customers"": 1182}",1,worthless,"Observed on 1,182 physical records; strict Rule 2 threshold is greater than 40.",trim only,1182,697971
address_line2,Flo…12,10673140db1a744c5600f1fc77c4eeaf0d416489cff159c770a3766b314586d4,1181,"{""store_customers"": 1181}",1,worthless,"Observed on 1,181 physical records; strict Rule 2 threshold is greater than 40.",trim only,1181,696790
address_line2,Flo… 5,3cab8359a94c7afbf9c76af79ab2e5f80f43ac815c27b2df58aaa6a95079f758,1179,"{""store_customers"": 1179}",1,worthless,"Observed on 1,179 physical records; strict Rule 2 threshold is greater than 40.",trim only,1179,694431
address_line2,Flo… 3,5e1f8c0f01a8ceeb5101c0fe9589e2776a94f1a60cd7abaa14334159b56efb47,1174,"{""store_customers"": 1174}",1,worthless,"Observed on 1,174 physical records; strict Rule 2 threshold is greater than 40.",trim only,1174,688551
address_line2,Flo… 8,b47931792e5f82003cdf2034de815807fe2ff5d395386053c25394ec7087880a,1171,"{""store_customers"": 1171}",1,worthless,"Observed on 1,171 physical records; strict Rule 2 threshold is greater than 40.",trim only,1171,685035
address_line2,Flo… 1,6436355de4ec004930c77af3c5cdc340c8daf91bd0af2368b946de4bab27235e,1155,"{""store_customers"": 1155}",1,worthless,"Observed on 1,155 physical records; strict Rule 2 threshold is greater than 40.",trim only,1155,666435
address_line2,Flo… 4,a67192c5fc8e5271e0d672b6da1cd6602d96aca791939c1f0da4d47f720a33ed,1145,"{""store_customers"": 1145}",1,worthless,"Observed on 1,145 physical records; strict Rule 2 threshold is greater than 40.",trim only,1145,654940
address_line2,Flo… 6,5bf3c81b0ae2afbcf94d7d01c8b4548d1d45096786e95b0a797785cd76a15a58,1120,"{""store_customers"": 1120}",1,worthless,"Observed on 1,120 physical records; strict Rule 2 threshold is greater than 40.",trim only,1120,626640
address_line2,Flo… 9,c2692ca4547614aa67b0ca7b15d5cf1449f52447723b381093d795bf5c9a0e35,1104,"{""store_customers"": 1104}",1,worthless,"Observed on 1,104 physical records; strict Rule 2 threshold is greater than 40.",trim only,1104,608856
address_line2," ""q…a""",6a940caa3769e9d7d82d5e5601d6b61322692112e6043847ce1f5d96bb720d86,1095,"{""store_customers"": 1095}",1,worthless,"Observed on 1,095 physical records; strict Rule 2 threshold is greater than 40.",trim only,1095,598965
email,b***@e***.example,5fd77c4efc03ce5153d838448587a539c15441da66ab5700c51fb9732a1ce84c,900,"{""ticketing"": 900}",1,worthless,Observed on 900 physical records; strict Rule 2 threshold is greater than 40.,trim + case-fold,900,404550
address_line2,"
 m…te",a8da9ea6343456344c08dfe1ccd5ddd9f99935d4dc516ea331ab7d1e91228a56,841,"{""store_customers"": 841}",1,worthless,Observed on 841 physical records; strict Rule 2 threshold is greater than 40.,trim only,841,353220
address_line2, he…ार,4417805090400bd483f13f0c607c72a21d49deb3d4d44543b799c44a2fcfa937,584,"{""store_customers"": 584}",1,worthless,Observed on 584 physical records; strict Rule 2 threshold is greater than 40.,trim only,584,170236
first_name,loa…st,e7ef87ffe514f6bc341c0a76411c98dc572a7a8735a1caaaad74b3983db18fd4,533,"{""app_users"": 533}",1,worthless,Observed on 533 physical records; strict Rule 2 threshold is greater than 40.,trim only,533,141778
last_name,**,33620086f4f0f5227a588218c452c0b980240b771f853158fd71561bb347ce78,533,"{""app_users"": 533}",1,worthless,Observed on 533 physical records; strict Rule 2 threshold is greater than 40.,trim only,533,141778
address_line2,**,6f8096368966bd9ca78fc3645047042a6e771e74c501ab30e196b9b02166d364,411,"{""store_customers"": 411}",1,worthless,Observed on 411 physical records; strict Rule 2 threshold is greater than 40.,trim only,411,84255
date_of_birth,2002-**-**,0a500f4fd759c58fbc7bdc57e6fd88236a51b97fa29675892f373c891defc2be,360,"{""app_users"": 35, ""store_customers"": 325}",2,worthless,Observed on 360 physical records; strict Rule 2 threshold is greater than 40.,trim only,360,64620
date_of_birth,2002-**-**,ab1f556ca9e58f3837c362af698730a96212f34e34d998b0d629be12807613fe,358,"{""app_users"": 30, ""store_customers"": 328}",2,worthless,Observed on 358 physical records; strict Rule 2 threshold is greater than 40.,trim only,358,63903
date_of_birth,2002-**-**,f1481ec00c1b3e829ea4dae429845686d2516d67291398a2219a2c10f2477aaa,355,"{""app_users"": 25, ""store_customers"": 330}",2,worthless,Observed on 355 physical records; strict Rule 2 threshold is greater than 40.,trim only,355,62835
date_of_birth,2002-**-**,51eaa3e652c852f7fafadf8755ed5baf0e2ef181beefb1d096a22f06ccda101a,353,"{""app_users"": 27, ""store_customers"": 326}",2,worthless,Observed on 353 physical records; strict Rule 2 threshold is greater than 40.,trim only,353,62128
date_of_birth,2002-**-**,48175ec5db9006e890ee461ffe7a53f19e97551d7f752404716c7e49e3ac3cb7,348,"{""app_users"": 25, ""store_customers"": 323}",2,worthless,Observed on 348 physical records; strict Rule 2 threshold is greater than 40.,trim only,348,60378
date_of_birth,2002-**-**,863faa09546b4bc962224b32252721fce03bc919a06e6e0ae5e1091874d72e19,348,"{""app_users"": 26, ""store_customers"": 322}",2,worthless,Observed on 348 physical records; strict Rule 2 threshold is greater than 40.,trim only,348,60378
date_of_birth,2002-**-**,72288dace1721bf987c28bf83f2eb1e01724ec08b8d04feb77d0c771772d28fd,347,"{""app_users"": 25, ""store_customers"": 322}",2,worthless,Observed on 347 physical records; strict Rule 2 threshold is greater than 40.,trim only,347,60031
date_of_birth,2002-**-**,50b83e595db55d8a9e509f0173889de43b111e00b22235a9a09c67f68c84b5d9,346,"{""app_users"": 21, ""store_customers"": 325}",2,worthless,Observed on 346 physical records; strict Rule 2 threshold is greater than 40.,trim only,346,59685
date_of_birth,2002-**-**,a46f854f16a534e0aa4741d0a0e0bc9805481042cab05ef3def538b9397e30e3,344,"{""app_users"": 20, ""store_customers"": 324}",2,worthless,Observed on 344 physical records; strict Rule 2 threshold is greater than 40.,trim only,344,58996
date_of_birth,2002-**-**,40963c51ee7f5264d0a78d37608b5783102554b809c08369f33b5fa70d4db8e0,343,"{""app_users"": 25, ""store_customers"": 318}",2,worthless,Observed on 343 physical records; strict Rule 2 threshold is greater than 40.,trim only,343,58653
date_of_birth,2002-**-**,3c12b3fee1094d1b53a6ad25f28fb1891173af45bad1679f81b0cf95f8bd8edc,342,"{""app_users"": 21, ""store_customers"": 321}",2,worthless,Observed on 342 physical records; strict Rule 2 threshold is greater than 40.,trim only,342,58311
date_of_birth,2002-**-**,5e1eac43e6dad749d3d9b8d75333db1991298634374c8ea9fbf6079ccfb9107d,337,"{""app_users"": 21, ""store_customers"": 316}",2,worthless,Observed on 337 physical records; strict Rule 2 threshold is greater than 40.,trim only,337,56616
first_name,K***,38a81ba2433ced81a751c31b6f14d7a5ff0c49c2343ca872cadf57d8ef7f2c9b,261,"{""app_users"": 151, ""store_customers"": 110}",2,worthless,Observed on 261 physical records; strict Rule 2 threshold is greater than 40.,trim only,261,33930
date_of_birth,1900-**-**,a3a2e452db89e3c743a2b58d45722975cc347acf727bbbd845fd610ac1101c22,252,"{""app_users"": 160, ""store_customers"": 92}",2,worthless,Observed on 252 physical records; strict Rule 2 threshold is greater than 40.,trim only,252,31626
date_of_birth,2024-**-**,e2f63af5bdcb5694098ea490d11c191fe261b93de3f459e8c898bfbff41fe95e,252,"{""app_users"": 141, ""store_customers"": 111}",2,worthless,Observed on 252 physical records; strict Rule 2 threshold is greater than 40.,trim only,252,31626
first_name,V***,ac8d2343a5622eee246c337f241d05bd5d259b3111da707b1404012cb3393ef6,252,"{""app_users"": 157, ""store_customers"": 95}",2,worthless,Observed on 252 physical records; strict Rule 2 threshold is greater than 40.,trim only,252,31626
first_name,G***,960b92933a6a797d7b9bef43d2f3ad40a1b6f593d3a90e416e0df7c75d173cae,250,"{""app_users"": 149, ""store_customers"": 101}",2,worthless,Observed on 250 physical records; strict Rule 2 threshold is greater than 40.,trim only,250,31125
first_name,T***,acf4c7c90dd724a13b32868bde60fec565fec5ae518ef1d4dcbabc849928ba9a,250,"{""app_users"": 148, ""store_customers"": 102}",2,worthless,Observed on 250 physical records; strict Rule 2 threshold is greater than 40.,trim only,250,31125
last_name,S***,f60f3e7b32969ada4ba85845420c8123c958368f407ec6f7f319e0e7761179b0,248,"{""app_users"": 140, ""store_customers"": 108}",2,worthless,Observed on 248 physical records; strict Rule 2 threshold is greater than 40.,trim only,248,30628
first_name,L***,770ac7b85599bb76fc6ccb1cb77569dddc08fc2c1b1f595d0a7fa33e87f7de7f,246,"{""app_users"": 129, ""store_customers"": 117}",2,worthless,Observed on 246 physical records; strict Rule 2 threshold is greater than 40.,trim only,246,30135
last_name,S***,7fcf525a82d0c547e6146fcf41ffeff953c918c4d9414772f55faba4eb6be275,245,"{""app_users"": 133, ""store_customers"": 112}",2,worthless,Observed on 245 physical records; strict Rule 2 threshold is greater than 40.,trim only,245,29890
last_name,V***,cac5557adad8c9db213ab1e0112b9ddf2bd048c1afcec97109d378139b04fef4,245,"{""app_users"": 146, ""store_customers"": 99}",2,worthless,Observed on 245 physical records; strict Rule 2 threshold is greater than 40.,trim only,245,29890
first_name,R***,392c25ff562e3e3ccff7cc4126f3f312e7939821bd9ecd188552b56987175208,242,"{""app_users"": 147, ""store_customers"": 95}",2,worthless,Observed on 242 physical records; strict Rule 2 threshold is greater than 40.,trim only,242,29161
last_name,M***,4d475c6ac191d9971e6fc9bc6193a63b5bee2e6c95253804bf03c7000f4c4391,242,"{""app_users"": 152, ""store_customers"": 90}",2,worthless,Observed on 242 physical records; strict Rule 2 threshold is greater than 40.,trim only,242,29161
last_name,F***,b968b508fc9d2ce385e3d58cac33f0ecd7a0f86afde4d8c90238cbd418f8f108,242,"{""app_users"": 147, ""store_customers"": 95}",2,worthless,Observed on 242 physical records; strict Rule 2 threshold is greater than 40.,trim only,242,29161
last_name,Q***,bab995ca7c7104a1f65f97f67dc0480dcf3a0f061ee880a4c48ec82c8fb049c3,242,"{""app_users"": 142, ""store_customers"": 100}",2,worthless,Observed on 242 physical records; strict Rule 2 threshold is greater than 40.,trim only,242,29161
first_name,P***,842bed8b38b9f3fc56513bbd1694675781f92ae5e88de2d5a3f59b2993546da5,241,"{""app_users"": 144, ""store_customers"": 97}",2,worthless,Observed on 241 physical records; strict Rule 2 threshold is greater than 40.,trim only,241,28920
first_name,P***,a1b24b9068f7f30f720e6bb00cef892e84c8ebad58488ad29ce590a1c3d3c239,241,"{""app_users"": 142, ""store_customers"": 99}",2,worthless,Observed on 241 physical records; strict Rule 2 threshold is greater than 40.,trim only,241,28920
first_name,T***,e2d63b3d4e3fadffa0b1bde50d1f533016f7df0b75f30604df5c0518b9cbb705,241,"{""app_users"": 133, ""store_customers"": 108}",2,worthless,Observed on 241 physical records; strict Rule 2 threshold is greater than 40.,trim only,241,28920
last_name,G***,5b498cb0e1b9d20b62e9b195e72b6b7c7c340e1609e63fb467d99b2db28d197d,241,"{""app_users"": 132, ""store_customers"": 109}",2,worthless,Observed on 241 physical records; strict Rule 2 threshold is greater than 40.,trim only,241,28920
last_name,C***,fd6e556abaddd15f3b856c1b9ef7d51d49c2a35400fd3a51577fa6bce963e5ac,241,"{""app_users"": 140, ""store_customers"": 101}",2,worthless,Observed on 241 physical records; strict Rule 2 threshold is greater than 40.,trim only,241,28920
first_name,P***,547d42c66e09b1dff793e07803cf11adf8d01087c7dff371a11a6312663f98ff,240,"{""app_users"": 137, ""store_customers"": 103}",2,worthless,Observed on 240 physical records; strict Rule 2 threshold is greater than 40.,trim only,240,28680
first_name,B***,79f2ef9de88eb0c87fd3131ca4eb81a902fbc50a7dac47a8d20efda17e963f50,240,"{""app_users"": 122, ""store_customers"": 118}",2,worthless,Observed on 240 physical records; strict Rule 2 threshold is greater than 40.,trim only,240,28680
first_name,D***,9903259a927ad54bb6cc03dbbb5c8f06f57ea996579fd47499ec30aa0aa125b1,240,"{""app_users"": 150, ""store_customers"": 90}",2,worthless,Observed on 240 physical records; strict Rule 2 threshold is greater than 40.,trim only,240,28680
last_name,F***,aeb82a67fde2ae9d5826aee4013d0a45f3774119b7fb3e27d0d959aadbb485de,240,"{""app_users"": 143, ""store_customers"": 97}",2,worthless,Observed on 240 physical records; strict Rule 2 threshold is greater than 40.,trim only,240,28680
first_name,F***,2eb82e10fd7790e4d19a52ade3b6f9731d4807a8e1a2a0db0a8d1b063eb9a251,239,"{""app_users"": 141, ""store_customers"": 98}",2,worthless,Observed on 239 physical records; strict Rule 2 threshold is greater than 40.,trim only,239,28441
first_name,T***,88ad87afc9382bda6015beb28c7e4980ea5278f108078c1a34cb81726be8839f,239,"{""app_users"": 150, ""store_customers"": 89}",2,worthless,Observed on 239 physical records; strict Rule 2 threshold is greater than 40.,trim only,239,28441
