source,raw_field,canonical_concept,total_count,missing_count,missing_percentage,valid_count,valid_percentage,invalid_count,invalid_percentage,changed_count,changed_percentage_of_valid,quality_flagged_count,transformations
store_customers,customer_id,source_record_id,80000,0,0.0,80000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 80000}"
store_customers,device,device_id,80000,0,0.0,80000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 80000}"
store_customers,dob,date_of_birth,80000,4000,5.0,76000,95.0,0,0.0,0,0.0,92,"{""declared date format to ISO date"": 76000, ""documented missing-token recognition"": 4000}"
store_customers,first,first_name,80000,0,0.0,80000,100.0,0,0.0,80000,100.0,3907,"{""NFKC + primary export text + case-fold + whitespace collapse"": 80000}"
store_customers,last,last_name,80000,0,0.0,80000,100.0,0,0.0,80000,100.0,4072,"{""NFKC + primary export text + case-fold + whitespace collapse"": 80000}"
store_customers,line1,address_line1,80000,0,0.0,80000,100.0,0,0.0,80000,100.0,3925,"{""NFKC + primary export text + case-fold + whitespace collapse"": 80000}"
store_customers,line2,address_line2,80000,46579,58.22375,33421,41.77625,0,0.0,33421,100.0,2027,"{""NFKC + primary export text + case-fold + whitespace collapse"": 33421, ""documented missing-token recognition"": 46579}"
store_customers,postcode,postcode,80000,0,0.0,80000,100.0,0,0.0,0,0.0,0,"{""NFKC + uppercase + safe space/hyphen removal"": 80000}"
subscriptions,billing_name,full_name,50000,0,0.0,50000,100.0,0,0.0,50000,100.0,2444,"{""NFKC + primary export text + case-fold + whitespace collapse"": 50000}"
subscriptions,country,country,50000,0,0.0,50000,100.0,0,0.0,40000,80.0,0,"{""NFKC + ISO country alias mapping"": 50000}"
subscriptions,email,email,50000,0,0.0,50000,100.0,0,0.0,3062,6.124,3062,"{""NFKC + single-address extraction + case-fold; dots/plus preserved"": 50000}"
subscriptions,payment_token,payment_token,50000,0,0.0,50000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 50000}"
subscriptions,subscriber_name,full_name,50000,0,0.0,50000,100.0,0,0.0,50000,100.0,2562,"{""NFKC + primary export text + case-fold + whitespace collapse"": 50000}"
subscriptions,subscription_id,source_record_id,50000,0,0.0,50000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 50000}"
ticketing,account_id,account_reference,80000,58614,73.2675,21386,26.7325,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 21386, ""documented missing-token recognition"": 58614}"
ticketing,booking_id,source_record_id,80000,0,0.0,80000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 80000}"
ticketing,city,city,80000,0,0.0,80000,100.0,0,0.0,68433,85.54125,0,"{""NFKC + case-fold + safe city punctuation + whitespace collapse"": 80000}"
ticketing,device_id,device_id,80000,0,0.0,80000,100.0,0,0.0,0,0.0,0,"{""NFKC + trim; case preserved"": 80000}"
ticketing,email,email,80000,1060,1.325,78940,98.675,0,0.0,4050,5.130479,0,"{""NFKC + single-address extraction + case-fold; dots/plus preserved"": 78940, ""documented missing-token recognition"": 1060}"
ticketing,full_name,full_name,80000,0,0.0,80000,100.0,0,0.0,80000,100.0,36541,"{""NFKC + primary export text + case-fold + whitespace collapse"": 80000}"
ticketing,phone,phone,80000,39400,49.25,40600,50.75,0,0.0,4026,9.916256,12149,"{""NFKC + safe punctuation removal; country code not inferred"": 40600, ""documented missing-token recognition"": 39400}"
